Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,UnitPrice,Year
东南北,奥林匹克公园,板楼,14,招商嘉铭珑原,101112210109,4室2厅, 1500万,昌平,精装,193.0,"77,680元/平",2013
东南北,天通苑,塔楼,32,天通西苑三区,101112413382,4室2厅, 700万,昌平,精装,227.0,"30,751元/平",2004
东西,立水桥,板楼,7,清水园二期,101112709358,3室1厅, 530万,昌平,精装,112.0,"46,982元/平",2003
南北,东关,板楼,11,建安里小区,101110709806,4室1厅, 570万,昌平,其他,168.0,"33,877元/平",2001
南北,霍营,板楼,6,华龙苑中里,101112059620,3室1厅, 409万,昌平,简装,75.0,"53,987元/平",1995
东南,东关,板楼,11,建安里小区,101111636359,3室2厅, 419万,昌平,其他,126.0,"33,076元/平",2001
南北,回龙观,板楼,6,龙博苑一区,101112106092,3室1厅, 610万,昌平,精装,131.0,"46,558元/平",2005
南北,北七家,板楼,8,金色漫香苑,101111753033,5室2厅, 860万,昌平,毛坯,181.0,"47,373元/平",2013
南北,西关环岛,板楼,5,西环里,101111073295,3室1厅, 259万,昌平,简装,73.0,"35,465元/平",1985
东西,东关,板塔结合,18,畅椿阁,101112645199,2室2厅, 475万,昌平,简装,138.0,"34,356元/平",2009
南西北,东关,板塔结合,19,金隅嘉和园,101111081009,3室1厅, 355万,昌平,精装,89.0,"39,888元/平",2011
南北,霍营,板楼,6,龙锦苑东一区,101110284611,3室1厅, 525万,昌平,简装,124.0,"42,322元/平",2007
南北,东关,板楼,11,宁馨苑,101112083818,3室2厅, 540万,昌平,简装,172.0,"31,394元/平",2003
南北,北七家,板楼,6,望都新地,101103478871,3室2厅, 570万,昌平,精装,138.0,"41,218元/平",2009
南北,昌平其它,板楼,17,保利紫荆香谷,101112982107,3室2厅, 485万,昌平,简装,91.0,"53,105元/平",2017
南北,北七家,板楼,5,温泉花园A区,101110857994,3室2厅, 418万,昌平,精装,164.0,"25,355元/平",1995
南北,北七家,板楼,6,王府园中园六区,101112891664,5室2厅, 850万,昌平,简装,336.0,"25,291元/平",2003
南北,北七家,板楼,6,王府温馨公寓,101109070175,4室2厅, 499万,昌平,精装,179.0,"27,805元/平",1999
南北,北七家,板楼,5,温泉花园A区,101111771433,3室2厅, 348万,昌平,其他,111.0,"31,102元/平",1996
南,立水桥,板塔结合,15,溪城家园,101112398587,2室1厅, 450万,昌平,简装,83.0,"53,661元/平",2010
东南北,回龙观,板楼,8,新龙城,101111269450,3室1厅, 735万,昌平,精装,122.0,"60,227元/平",2006
南北,小汤山,板楼,2,纳帕溪谷,101109948560,3室2厅, 1460万,昌平,精装,282.0,"51,748元/平",2008
南北,黄村中,板楼,4,富强西里,101111968027,2室1厅, 228万,大兴,简装,55.0,"40,956元/平",1987
